highest,episode,time
1,449,00:00:20
2,466,00:00:21
3,703,00:00:36
4,705,00:00:36
5,760,00:00:39
6,770,00:00:40
7,779,00:00:40
8,851,00:00:48
9,854,00:00:48
10,858,00:00:48
11,878,00:00:49
12,883,00:00:50
13,889,00:00:50
14,892,00:00:50
15,896,00:00:50
16,909,00:00:51
17,911,00:00:51
18,923,00:00:52
19,924,00:00:52
20,931,00:00:52
21,1116,00:01:06
22,1117,00:01:06
23,1118,00:01:06
24,1119,00:01:06
25,1123,00:01:06
26,1138,00:01:07
27,1144,00:01:07
28,1146,00:01:07
29,1167,00:01:09
30,1170,00:01:09
31,1269,00:01:18
32,1271,00:01:18
33,1276,00:01:18
34,1277,00:01:18
35,1285,00:01:19
36,1286,00:01:19
37,1287,00:01:19
38,1290,00:01:19
39,1293,00:01:20
40,1296,00:01:20
41,1297,00:01:20
42,1314,00:01:21
43,1446,00:01:32
44,1506,00:01:35
45,1508,00:01:36
46,1509,00:01:36
47,1510,00:01:36
48,1514,00:01:36
49,1515,00:01:36
50,1526,00:01:37
51,1541,00:01:37
52,1545,00:01:37
53,1547,00:01:38
54,1548,00:01:38
55,1549,00:01:38
56,1550,00:01:38
57,1551,00:01:38
58,1553,00:01:38
59,1554,00:01:38
60,1558,00:01:38
61,1559,00:01:38
62,1560,00:01:38
63,1561,00:01:39
64,1564,00:01:39
65,1568,00:01:39
66,1571,00:01:39
67,1582,00:01:40
68,1584,00:01:40
69,1594,00:01:40
70,1595,00:01:40
71,1920,00:02:04
72,1922,00:02:04
73,1928,00:02:04
74,1930,00:02:04
75,2065,00:02:11
76,2066,00:02:14
77,2249,00:02:24
78,2251,00:02:24
79,2253,00:02:24
80,2257,00:02:25
81,2258,00:02:25
82,2278,00:02:26
83,2279,00:02:26
84,2396,00:02:35
85,2511,00:02:40
86,2514,00:02:40
87,2516,00:02:41
88,2517,00:02:41
89,2520,00:02:41
90,2522,00:02:41
91,2787,00:03:01
92,2794,00:03:01
93,2813,00:03:02
94,2822,00:03:03
95,2825,00:03:03
96,2833,00:03:03
97,2838,00:03:04
98,3018,00:03:15
99,3930,00:04:09
100,3940,00:04:09
