highest,episode,time
1,252,00:00:11
2,297,00:00:14
3,333,00:00:16
4,923,00:00:47
5,978,00:00:52
6,990,00:00:53
7,1001,00:00:54
8,1006,00:00:54
9,1031,00:00:56
10,1228,00:01:11
11,1239,00:01:12
12,1246,00:01:12
13,1381,00:01:24
14,1382,00:01:24
15,1389,00:01:25
16,1428,00:01:28
17,1456,00:01:30
18,1457,00:01:30
19,1459,00:01:30
20,1461,00:01:30
21,1471,00:01:31
22,1538,00:01:35
23,1582,00:01:40
24,1588,00:01:41
25,1589,00:01:41
26,1598,00:01:41
27,1633,00:01:43
28,1634,00:01:43
29,1644,00:01:44
30,1656,00:01:44
31,1657,00:01:45
32,1665,00:01:45
33,1795,00:01:55
34,1805,00:01:56
35,1808,00:01:56
36,1809,00:01:56
37,1810,00:01:56
38,1832,00:01:57
39,1833,00:01:58
40,1837,00:01:58
41,1860,00:01:59
42,1862,00:01:59
43,1903,00:02:01
44,1919,00:02:02
45,1921,00:02:02
46,1923,00:02:03
47,1926,00:02:03
48,1969,00:02:07
49,1974,00:02:07
50,1985,00:02:08
51,2016,00:02:10
52,2040,00:02:11
53,2041,00:02:11
54,2042,00:02:11
55,2048,00:02:11
56,2052,00:02:12
57,2053,00:02:12
58,2232,00:02:24
59,2233,00:02:24
60,2289,00:02:27
61,2290,00:02:27
62,2292,00:02:27
63,2293,00:02:27
64,2303,00:02:27
65,2307,00:02:28
66,3007,00:03:11
67,3009,00:03:11
68,3010,00:03:11
69,3015,00:03:11
70,3019,00:03:11
71,3024,00:03:11
72,3067,00:03:13
73,3068,00:03:13
74,3071,00:03:14
75,3076,00:03:14
76,3563,00:03:45
77,3595,00:03:46
78,3742,00:03:56
79,3743,00:03:56
80,3744,00:03:56
81,3897,00:04:07
82,3955,00:04:10
83,4166,00:04:22
84,4168,00:04:22
85,4660,00:04:51
86,4681,00:04:52
87,5192,00:05:24
88,5211,00:05:25
89,5214,00:05:25
90,5340,00:05:32
91,5342,00:05:32
92,5395,00:05:36
93,5401,00:05:37
94,6008,00:06:11
95,6011,00:06:11
96,6014,00:06:11
97,7277,00:07:17
98,7436,00:07:24
99,8589,00:08:24
100,9000,00:08:43
