highest,episode,time
1,17,00:00:02
2,32,00:00:03
3,33,00:00:03
4,34,00:00:03
5,53,00:00:04
6,72,00:00:06
7,77,00:00:06
8,85,00:00:06
9,111,00:00:08
10,370,00:00:26
11,371,00:00:26
12,380,00:00:27
13,407,00:00:28
14,410,00:00:28
15,536,00:00:37
16,552,00:00:37
17,553,00:00:37
18,554,00:00:37
19,556,00:00:38
20,563,00:00:38
21,604,00:00:40
22,610,00:00:40
23,628,00:00:41
24,629,00:00:41
25,631,00:00:42
26,749,00:00:50
27,750,00:00:50
28,756,00:00:50
29,761,00:00:50
30,762,00:00:51
31,765,00:00:51
32,766,00:00:51
33,772,00:00:51
34,790,00:00:52
35,795,00:00:52
36,796,00:00:52
37,806,00:00:53
38,812,00:00:53
39,816,00:00:53
40,886,00:00:59
41,888,00:01:00
42,889,00:01:00
43,893,00:01:00
44,955,00:01:02
45,1154,00:01:12
46,1157,00:01:13
47,1158,00:01:13
48,1286,00:01:18
49,1326,00:01:21
50,1327,00:01:21
51,1328,00:01:22
52,1329,00:01:22
53,1377,00:01:23
54,1382,00:01:23
55,1392,00:01:24
56,1402,00:01:24
57,1505,00:01:28
58,1534,00:01:29
59,1540,00:01:30
60,1551,00:01:30
61,1553,00:01:30
62,1560,00:01:32
63,1562,00:01:32
64,1565,00:01:33
65,1569,00:01:33
66,1570,00:01:33
67,1594,00:01:34
68,1672,00:01:37
69,1673,00:01:37
70,1806,00:01:41
71,1817,00:01:42
72,1821,00:01:44
73,1845,00:01:44
74,1848,00:01:45
75,1850,00:01:45
76,1854,00:01:45
77,1857,00:01:45
78,1868,00:01:45
79,1884,00:01:46
80,1886,00:01:46
81,1887,00:01:46
82,1902,00:01:46
83,2034,00:01:51
84,2035,00:01:51
85,2062,00:01:52
86,2063,00:01:52
87,2255,00:02:01
88,2260,00:02:01
89,2261,00:02:01
90,2297,00:02:02
91,2309,00:02:03
92,2469,00:02:10
93,2909,00:02:25
94,3054,00:02:32
95,3076,00:02:32
96,3080,00:02:33
97,3466,00:02:46
98,3477,00:02:46
99,4989,00:03:34
100,5474,00:03:47
