highest,episode,time
1,50,00:00:05
2,100,00:00:07
3,422,00:00:35
4,436,00:00:36
5,518,00:00:42
6,561,00:00:48
7,568,00:00:49
8,581,00:00:50
9,585,00:00:50
10,588,00:00:50
11,593,00:00:51
12,597,00:00:51
13,601,00:00:52
14,604,00:00:52
15,608,00:00:52
16,643,00:00:56
17,678,00:00:58
18,733,00:01:06
19,756,00:01:08
20,781,00:01:10
21,784,00:01:11
22,787,00:01:11
23,792,00:01:12
24,813,00:01:13
25,835,00:01:18
26,842,00:01:19
27,843,00:01:19
28,851,00:01:19
29,857,00:01:20
30,860,00:01:20
31,882,00:01:22
32,888,00:01:23
33,922,00:01:26
34,926,00:01:26
35,966,00:01:32
36,967,00:01:33
37,971,00:01:33
38,978,00:01:33
39,1070,00:01:41
40,1083,00:01:42
41,1086,00:01:42
42,1089,00:01:42
43,1090,00:01:42
44,1091,00:01:42
45,1096,00:01:43
46,1138,00:01:49
47,1153,00:01:50
48,1155,00:01:51
49,1162,00:01:51
50,1299,00:02:05
51,1300,00:02:05
52,1303,00:02:05
53,1320,00:02:06
54,1323,00:02:07
55,1386,00:02:11
56,1387,00:02:11
57,1457,00:02:19
58,1460,00:02:20
59,1461,00:02:20
60,1520,00:02:24
61,1522,00:02:24
62,1682,00:02:40
63,1683,00:02:40
64,1845,00:02:56
65,1858,00:02:57
66,1863,00:02:57
67,1874,00:02:58
68,1875,00:02:58
69,1876,00:02:58
70,1880,00:02:59
71,1886,00:02:59
72,1889,00:03:00
73,1890,00:03:00
74,1917,00:03:04
75,1918,00:03:04
76,1920,00:03:05
77,2341,00:03:40
78,2342,00:03:40
79,2343,00:03:40
80,2621,00:04:06
81,2636,00:04:07
82,2780,00:04:18
83,2782,00:04:18
84,2786,00:04:18
85,2800,00:04:23
86,2804,00:04:23
87,2806,00:04:23
88,3550,00:05:19
89,3565,00:05:20
90,3952,00:05:50
91,3977,00:05:52
92,3983,00:05:52
93,3999,00:05:53
94,4185,00:06:08
95,5104,00:07:18
96,6498,00:09:04
97,6541,00:09:07
98,9894,00:15:28
99,10461,00:16:37
100,16538,00:29:50
