highest,episode,time
1,43,00:00:04
2,52,00:00:05
3,54,00:00:05
4,70,00:00:06
5,73,00:00:06
6,77,00:00:06
7,78,00:00:06
8,88,00:00:07
9,103,00:00:07
10,110,00:00:08
11,130,00:00:08
12,137,00:00:09
13,252,00:00:19
14,253,00:00:19
15,262,00:00:19
16,267,00:00:19
17,269,00:00:20
18,271,00:00:20
19,281,00:00:20
20,287,00:00:21
21,290,00:00:21
22,294,00:00:21
23,296,00:00:21
24,303,00:00:21
25,307,00:00:21
26,308,00:00:22
27,315,00:00:22
28,318,00:00:22
29,466,00:00:34
30,498,00:00:35
31,506,00:00:36
32,507,00:00:36
33,516,00:00:36
34,520,00:00:37
35,545,00:00:38
36,621,00:00:41
37,622,00:00:41
38,623,00:00:41
39,626,00:00:45
40,634,00:00:46
41,638,00:00:46
42,667,00:00:47
43,669,00:00:47
44,671,00:00:47
45,676,00:00:48
46,742,00:00:51
47,805,00:00:54
48,860,00:01:01
49,861,00:01:01
50,879,00:01:02
51,881,00:01:02
52,883,00:01:02
53,913,00:01:04
54,917,00:01:04
55,924,00:01:04
56,930,00:01:04
57,933,00:01:05
58,934,00:01:05
59,938,00:01:05
60,939,00:01:05
61,940,00:01:05
62,976,00:01:07
63,1106,00:01:16
64,1403,00:01:34
65,1412,00:01:34
66,1419,00:01:35
67,1420,00:01:35
68,1422,00:01:35
69,1454,00:01:36
70,1492,00:01:38
71,1561,00:01:45
72,1564,00:01:45
73,1565,00:01:45
74,1567,00:01:45
75,1575,00:01:45
76,1849,00:02:02
77,1851,00:02:02
78,1859,00:02:02
79,1864,00:02:02
80,1865,00:02:02
81,1876,00:02:03
82,1916,00:02:05
83,1926,00:02:05
84,2123,00:02:18
85,2124,00:02:18
86,2133,00:02:19
87,2143,00:02:19
88,2147,00:02:19
89,2151,00:02:19
90,2622,00:02:49
91,2631,00:02:49
92,2637,00:02:49
93,2908,00:03:06
94,2915,00:03:06
95,2929,00:03:07
96,2945,00:03:07
97,2962,00:03:08
98,3387,00:03:32
99,3389,00:03:32
100,3418,00:03:33
