highest,episode,time
1,700,00:00:46
2,750,00:00:50
3,894,00:01:01
4,902,00:01:02
5,930,00:01:04
6,939,00:01:06
7,958,00:01:08
8,980,00:01:10
9,1108,00:01:20
10,1114,00:01:21
11,1143,00:01:23
12,1149,00:01:23
13,1155,00:01:24
14,1237,00:01:31
15,1238,00:01:31
16,1263,00:01:33
17,1264,00:01:33
18,1270,00:01:34
19,1280,00:01:35
20,1297,00:01:36
21,1298,00:01:36
22,1301,00:01:36
23,1302,00:01:37
24,1305,00:01:37
25,1332,00:01:39
26,1334,00:01:39
27,1336,00:01:39
28,1359,00:01:41
29,1379,00:01:43
30,1381,00:01:44
31,1383,00:01:44
32,1393,00:01:45
33,1394,00:01:45
34,1395,00:01:45
35,1396,00:01:45
36,1403,00:01:46
37,1439,00:01:48
38,1441,00:01:49
39,1442,00:01:49
40,1444,00:01:49
41,1446,00:01:49
42,1614,00:02:03
43,1618,00:02:03
44,1620,00:02:03
45,1625,00:02:04
46,1630,00:02:04
47,1631,00:02:04
48,1633,00:02:05
49,1635,00:02:05
50,1639,00:02:05
51,1795,00:02:19
52,1823,00:02:21
53,1852,00:02:25
54,1853,00:02:25
55,1854,00:02:25
56,1941,00:02:32
57,1942,00:02:32
58,1983,00:02:35
59,2064,00:02:42
60,2174,00:02:51
61,2181,00:02:51
62,2183,00:02:52
63,2188,00:02:52
64,2189,00:02:52
65,2191,00:02:52
66,2192,00:02:52
67,2207,00:02:53
68,2253,00:02:57
69,2257,00:02:57
70,2320,00:03:01
71,2337,00:03:04
72,2344,00:03:04
73,2529,00:03:18
74,2546,00:03:19
75,2548,00:03:19
76,2553,00:03:19
77,2558,00:03:20
78,2560,00:03:20
79,2561,00:03:20
80,2563,00:03:20
81,2567,00:03:20
82,2571,00:03:20
83,2573,00:03:21
84,2580,00:03:21
85,2586,00:03:21
86,2889,00:03:44
87,2890,00:03:44
88,3055,00:03:56
89,3057,00:03:56
90,3075,00:03:57
91,3453,00:04:23
92,3459,00:04:23
93,4895,00:05:55
94,5094,00:06:08
95,5500,00:06:34
96,5512,00:06:34
