highest,episode,time
1,298,00:00:29
2,302,00:00:29
3,524,00:00:49
4,543,00:00:52
5,602,00:00:58
6,604,00:00:58
7,743,00:01:13
8,767,00:01:15
9,801,00:01:18
10,817,00:01:21
11,818,00:01:21
12,824,00:01:22
13,835,00:01:23
14,852,00:01:24
15,853,00:01:25
16,859,00:01:25
17,863,00:01:25
18,892,00:01:28
19,979,00:01:37
20,980,00:01:37
21,984,00:01:38
22,988,00:01:38
23,990,00:01:38
24,995,00:01:39
25,1001,00:01:39
26,1005,00:01:40
27,1009,00:01:40
28,1016,00:01:41
29,1019,00:01:41
30,1023,00:01:41
31,1029,00:01:42
32,1200,00:01:59
33,1204,00:02:00
34,1209,00:02:00
35,1224,00:02:01
36,1225,00:02:01
37,1226,00:02:02
38,1229,00:02:02
39,1230,00:02:02
40,1233,00:02:02
41,1251,00:02:04
42,1252,00:02:04
43,1253,00:02:04
44,1262,00:02:07
45,1264,00:02:07
46,1320,00:02:11
47,1338,00:02:13
48,1368,00:02:15
49,1380,00:02:16
50,1423,00:02:20
51,1443,00:02:22
52,1454,00:02:23
53,1458,00:02:23
54,1482,00:02:25
55,1489,00:02:26
56,1495,00:02:26
57,1497,00:02:27
58,1498,00:02:27
59,1515,00:02:28
60,1517,00:02:28
61,1519,00:02:28
62,1672,00:02:41
63,1673,00:02:41
64,1674,00:02:41
65,1703,00:02:43
66,1706,00:02:44
67,1887,00:02:58
68,1888,00:02:58
69,1890,00:02:58
70,1897,00:02:58
71,1905,00:02:59
72,2013,00:03:07
73,2020,00:03:08
74,2137,00:03:15
75,2142,00:03:15
76,2147,00:03:15
77,2469,00:03:38
78,2592,00:03:45
79,2615,00:03:46
80,2616,00:03:46
81,2632,00:03:47
82,2636,00:03:47
83,2709,00:03:53
84,2846,00:04:02
85,2851,00:04:02
86,3235,00:04:27
87,3241,00:04:27
88,3244,00:04:27
89,3268,00:04:29
90,3271,00:04:29
91,3645,00:04:51
92,3659,00:04:52
93,5031,00:06:14
94,5043,00:06:14
95,5045,00:06:15
96,5058,00:06:17
97,5388,00:06:37
98,5394,00:06:37
99,8627,00:09:40
100,10848,00:11:47
