highest,episode,time
1,30,00:00:07
2,340,00:00:26
3,342,00:00:26
4,422,00:00:31
5,426,00:00:32
6,493,00:00:39
7,507,00:00:40
8,513,00:00:41
9,520,00:00:41
10,557,00:00:44
11,559,00:00:44
12,564,00:00:45
13,583,00:00:46
14,693,00:00:55
15,706,00:00:55
16,736,00:00:57
17,751,00:00:58
18,757,00:00:58
19,844,00:01:03
20,869,00:01:07
21,870,00:01:07
22,872,00:01:07
23,880,00:01:07
24,885,00:01:08
25,907,00:01:09
26,909,00:01:09
27,913,00:01:09
28,921,00:01:09
29,959,00:01:11
30,1028,00:01:14
31,1039,00:01:15
32,1071,00:01:16
33,1087,00:01:17
34,1089,00:01:17
35,1095,00:01:18
36,1277,00:01:29
37,1279,00:01:29
38,1311,00:01:31
39,1332,00:01:32
40,1333,00:01:32
41,1334,00:01:32
42,1336,00:01:32
43,1441,00:01:39
44,1445,00:01:39
45,1451,00:01:39
46,1730,00:01:54
47,1731,00:01:54
48,1733,00:01:54
49,1737,00:01:54
50,1741,00:01:54
51,1743,00:01:54
52,1746,00:01:54
53,1753,00:01:55
54,1755,00:01:55
55,1765,00:01:55
56,1766,00:01:55
57,1768,00:01:55
58,1770,00:01:55
59,1772,00:01:55
60,1776,00:01:56
61,1777,00:01:56
62,1780,00:01:56
63,2138,00:02:13
64,2148,00:02:14
65,2168,00:02:15
66,2176,00:02:15
67,2198,00:02:16
68,2200,00:02:16
69,2201,00:02:16
70,2204,00:02:16
71,2351,00:02:24
72,2352,00:02:24
73,2375,00:02:25
74,2377,00:02:25
75,2378,00:02:25
76,2379,00:02:25
77,2380,00:02:26
78,2382,00:02:26
79,2653,00:02:39
80,2661,00:02:39
81,2662,00:02:39
82,2663,00:02:39
83,2675,00:02:40
84,2678,00:02:40
85,2686,00:02:40
86,2688,00:02:40
87,2694,00:02:41
88,2696,00:02:41
89,2702,00:02:41
90,2705,00:02:41
91,2713,00:02:41
92,3197,00:03:00
93,3214,00:03:01
94,3215,00:03:01
95,3218,00:03:01
96,3249,00:03:02
97,3538,00:03:13
98,3544,00:03:13
99,3647,00:03:16
100,3831,00:03:21
