highest,episode,time
1,40,00:00:07
2,69,00:00:08
3,98,00:00:09
4,398,00:00:22
5,411,00:00:22
6,444,00:00:24
7,463,00:00:25
8,682,00:00:39
9,684,00:00:39
10,713,00:00:41
11,714,00:00:41
12,720,00:00:42
13,867,00:00:55
14,876,00:00:55
15,879,00:00:56
16,887,00:00:56
17,934,00:01:02
18,942,00:01:03
19,954,00:01:04
20,955,00:01:04
21,963,00:01:04
22,970,00:01:05
23,994,00:01:06
24,995,00:01:06
25,1000,00:01:07
26,1001,00:01:07
27,1002,00:01:07
28,1004,00:01:08
29,1011,00:01:08
30,1081,00:01:15
31,1084,00:01:15
32,1085,00:01:16
33,1087,00:01:16
34,1088,00:01:16
35,1090,00:01:16
36,1097,00:01:17
37,1122,00:01:19
38,1130,00:01:19
39,1131,00:01:19
40,1142,00:01:21
41,1143,00:01:21
42,1144,00:01:21
43,1147,00:01:21
44,1148,00:01:21
45,1151,00:01:21
46,1153,00:01:22
47,1178,00:01:23
48,1276,00:01:33
49,1326,00:01:36
50,1335,00:01:37
51,1380,00:01:40
52,1384,00:01:41
53,1385,00:01:41
54,1386,00:01:41
55,1387,00:01:41
56,1391,00:01:41
57,1396,00:01:41
58,1397,00:01:42
59,1398,00:01:43
60,1400,00:01:44
61,1403,00:01:44
62,1404,00:01:44
63,1410,00:01:44
64,1414,00:01:45
65,1447,00:01:47
66,1458,00:01:48
67,1463,00:01:48
68,1468,00:01:48
69,1530,00:01:52
70,1533,00:01:53
71,1721,00:02:07
72,1787,00:02:12
73,1790,00:02:13
74,1811,00:02:14
75,1828,00:02:15
76,1837,00:02:15
77,1839,00:02:15
78,1841,00:02:16
79,1849,00:02:16
80,1978,00:02:25
81,1981,00:02:25
82,2066,00:02:31
83,2069,00:02:31
84,2132,00:02:35
85,2134,00:02:35
86,2177,00:02:40
87,2180,00:02:40
88,2192,00:02:41
89,2312,00:02:49
90,2313,00:02:49
91,2316,00:02:50
92,2318,00:02:50
93,2330,00:02:50
94,2456,00:03:01
95,2677,00:03:15
96,2758,00:03:19
97,3083,00:03:39
98,3086,00:03:39
99,3387,00:03:55
100,3721,00:04:15
