highest,episode,time
1,31,00:00:06
2,44,00:00:06
3,63,00:00:07
4,98,00:00:09
5,108,00:00:09
6,242,00:00:17
7,361,00:00:24
8,433,00:00:30
9,435,00:00:30
10,436,00:00:30
11,438,00:00:30
12,439,00:00:30
13,441,00:00:30
14,478,00:00:32
15,553,00:00:39
16,557,00:00:39
17,561,00:00:40
18,592,00:00:42
19,593,00:00:42
20,594,00:00:42
21,600,00:00:43
22,610,00:00:44
23,621,00:00:45
24,725,00:00:55
25,727,00:00:55
26,728,00:00:55
27,729,00:00:55
28,752,00:00:57
29,756,00:00:58
30,757,00:00:58
31,758,00:00:58
32,767,00:00:59
33,768,00:00:59
34,862,00:01:09
35,888,00:01:12
36,892,00:01:12
37,894,00:01:12
38,897,00:01:13
39,902,00:01:13
40,904,00:01:13
41,905,00:01:13
42,923,00:01:15
43,925,00:01:15
44,1193,00:01:42
45,1195,00:01:42
46,1196,00:01:42
47,1200,00:01:42
48,1218,00:01:43
49,1220,00:01:43
50,1222,00:01:44
51,1224,00:01:44
52,1227,00:01:44
53,1228,00:01:44
54,1231,00:01:44
55,1232,00:01:44
56,1256,00:01:46
57,1372,00:01:56
58,1377,00:01:56
59,1378,00:01:57
60,1422,00:02:00
61,1424,00:02:00
62,1427,00:02:00
63,1428,00:02:00
64,1432,00:02:01
65,1444,00:02:01
66,1448,00:02:02
67,1453,00:02:02
68,1584,00:02:12
69,1585,00:02:12
70,1589,00:02:12
71,1597,00:02:13
72,1600,00:02:13
73,1601,00:02:13
74,1607,00:02:13
75,1610,00:02:13
76,2061,00:02:44
77,2086,00:02:47
78,2087,00:02:48
79,2094,00:02:48
80,2101,00:02:48
81,2107,00:02:49
82,2110,00:02:49
83,2166,00:02:52
84,2173,00:02:52
85,2405,00:03:07
86,2406,00:03:07
87,2411,00:03:07
88,2412,00:03:07
89,2976,00:03:42
90,3098,00:03:50
91,3459,00:04:10
92,3992,00:04:38
93,3993,00:04:38
94,3994,00:04:38
95,3995,00:04:38
96,3997,00:04:38
97,4004,00:04:39
98,4011,00:04:39
99,7983,00:08:11
100,8884,00:08:55
