highest,episode,time
1,44,00:00:06
2,104,00:00:09
3,169,00:00:11
4,244,00:00:15
5,442,00:00:26
6,531,00:00:30
7,534,00:00:30
8,539,00:00:31
9,564,00:00:32
10,594,00:00:34
11,619,00:00:35
12,657,00:00:39
13,660,00:00:39
14,662,00:00:39
15,666,00:00:39
16,669,00:00:39
17,684,00:00:40
18,689,00:00:40
19,707,00:00:41
20,712,00:00:41
21,729,00:00:42
22,854,00:00:51
23,870,00:00:51
24,871,00:00:52
25,872,00:00:52
26,879,00:00:52
27,883,00:00:52
28,887,00:00:52
29,891,00:00:53
30,902,00:00:53
31,906,00:00:54
32,907,00:00:54
33,909,00:00:54
34,910,00:00:54
35,916,00:00:54
36,920,00:00:54
37,921,00:00:54
38,922,00:00:54
39,1079,00:01:04
40,1080,00:01:04
41,1084,00:01:04
42,1085,00:01:04
43,1092,00:01:04
44,1093,00:01:05
45,1098,00:01:05
46,1101,00:01:05
47,1104,00:01:05
48,1108,00:01:05
49,1109,00:01:05
50,1111,00:01:05
51,1114,00:01:06
52,1120,00:01:06
53,1134,00:01:07
54,1143,00:01:07
55,1195,00:01:10
56,1206,00:01:10
57,1212,00:01:11
58,1217,00:01:11
59,1222,00:01:11
60,1223,00:01:11
61,1359,00:01:19
62,1360,00:01:19
63,1376,00:01:20
64,1378,00:01:20
65,1379,00:01:20
66,1384,00:01:20
67,1385,00:01:20
68,1388,00:01:21
69,1406,00:01:21
70,1407,00:01:21
71,1409,00:01:21
72,1416,00:01:22
73,1417,00:01:22
74,1430,00:01:22
75,1629,00:01:33
76,1645,00:01:33
77,1651,00:01:34
78,1684,00:01:35
79,1687,00:01:35
80,1689,00:01:35
81,1692,00:01:35
82,1708,00:01:36
83,1712,00:01:36
84,1725,00:01:36
85,1733,00:01:37
86,1740,00:01:37
87,1741,00:01:37
88,1748,00:01:37
89,2141,00:01:55
90,2148,00:01:55
91,2150,00:01:56
92,2156,00:01:56
93,2215,00:01:58
94,2226,00:01:58
95,2305,00:02:01
96,2478,00:02:09
97,2487,00:02:09
98,2507,00:02:10
99,2511,00:02:10
100,2519,00:02:11
