highest,episode,time
1,76,00:00:06
2,276,00:00:19
3,296,00:00:20
4,305,00:00:21
5,393,00:00:26
6,434,00:00:32
7,437,00:00:32
8,440,00:00:32
9,449,00:00:33
10,465,00:00:34
11,489,00:00:35
12,503,00:00:36
13,511,00:00:37
14,518,00:00:37
15,519,00:00:37
16,653,00:00:49
17,657,00:00:49
18,663,00:00:49
19,667,00:00:49
20,678,00:00:50
21,680,00:00:50
22,681,00:00:50
23,686,00:00:50
24,688,00:00:50
25,692,00:00:51
26,813,00:01:01
27,814,00:01:01
28,815,00:01:01
29,818,00:01:01
30,819,00:01:01
31,830,00:01:02
32,831,00:01:02
33,860,00:01:04
34,887,00:01:05
35,892,00:01:05
36,895,00:01:06
37,897,00:01:06
38,898,00:01:06
39,902,00:01:06
40,906,00:01:06
41,907,00:01:06
42,909,00:01:07
43,923,00:01:07
44,929,00:01:08
45,934,00:01:08
46,935,00:01:08
47,1157,00:01:28
48,1179,00:01:29
49,1180,00:01:29
50,1181,00:01:29
51,1183,00:01:29
52,1196,00:01:30
53,1197,00:01:30
54,1198,00:01:30
55,1201,00:01:30
56,1210,00:01:31
57,1213,00:01:31
58,1214,00:01:31
59,1224,00:01:32
60,1225,00:01:32
61,1227,00:01:32
62,1228,00:01:32
63,1230,00:01:32
64,1235,00:01:32
65,1252,00:01:33
66,1255,00:01:34
67,1264,00:01:34
68,1370,00:01:44
69,1373,00:01:44
70,1374,00:01:44
71,1376,00:01:44
72,1377,00:01:44
73,1379,00:01:44
74,1380,00:01:44
75,1400,00:01:45
76,1403,00:01:45
77,1405,00:01:45
78,1552,00:01:57
79,1678,00:02:04
80,1682,00:02:04
81,1684,00:02:04
82,1685,00:02:04
83,1726,00:02:10
84,1808,00:02:14
85,1960,00:02:24
86,1964,00:02:25
87,2020,00:02:27
88,2021,00:02:27
89,2251,00:02:41
90,2264,00:02:41
91,2271,00:02:42
92,2311,00:02:43
93,2316,00:02:44
94,2436,00:02:53
95,2623,00:03:01
96,2626,00:03:01
97,2639,00:03:01
98,3374,00:03:41
99,3404,00:03:42
100,3613,00:03:54
