highest,episode,time
1,94,00:00:08
2,387,00:00:25
3,401,00:00:26
4,830,00:01:06
5,834,00:01:06
6,841,00:01:07
7,855,00:01:08
8,862,00:01:09
9,863,00:01:09
10,988,00:01:23
11,1012,00:01:25
12,1015,00:01:25
13,1031,00:01:26
14,1034,00:01:27
15,1046,00:01:27
16,1070,00:01:30
17,1071,00:01:30
18,1072,00:01:30
19,1308,00:01:55
20,1309,00:01:55
21,1312,00:01:56
22,1315,00:01:56
23,1317,00:01:56
24,1327,00:01:57
25,1328,00:01:57
26,1330,00:01:57
27,1362,00:02:00
28,1368,00:02:01
29,1374,00:02:01
30,1376,00:02:01
31,1379,00:02:01
32,1385,00:02:02
33,1395,00:02:03
34,1396,00:02:03
35,1397,00:02:03
36,1398,00:02:03
37,1399,00:02:03
38,1400,00:02:03
39,1532,00:02:17
40,1534,00:02:17
41,1536,00:02:17
42,1558,00:02:19
43,1728,00:02:36
44,1729,00:02:36
45,1735,00:02:36
46,1750,00:02:37
47,1758,00:02:38
48,1761,00:02:38
49,1901,00:02:51
50,1903,00:02:52
51,1985,00:03:00
52,2006,00:03:01
53,2012,00:03:02
54,2015,00:03:02
55,2016,00:03:02
56,2020,00:03:02
57,2034,00:03:03
58,2035,00:03:03
59,2036,00:03:04
60,2067,00:03:06
61,2078,00:03:07
62,2079,00:03:07
63,2093,00:03:08
64,2268,00:03:23
65,2294,00:03:25
66,2408,00:03:36
67,2409,00:03:36
68,2412,00:03:36
69,2422,00:03:37
70,2446,00:03:38
71,2451,00:03:39
72,2452,00:03:39
73,2453,00:03:39
74,2455,00:03:39
75,2466,00:03:40
76,2478,00:03:41
77,2481,00:03:41
78,2485,00:03:42
79,2486,00:03:42
80,2826,00:04:10
81,2832,00:04:11
82,2833,00:04:11
83,2867,00:04:14
84,2868,00:04:14
85,2884,00:04:14
86,2887,00:04:15
87,2907,00:04:17
88,3168,00:04:37
89,3197,00:04:39
90,3198,00:04:39
91,3201,00:04:39
92,3203,00:04:39
93,4081,00:05:40
94,4233,00:05:49
95,4261,00:05:53
96,4274,00:05:54
97,4383,00:06:00
98,4732,00:06:24
99,4736,00:06:24
100,6098,00:07:48
