highest,episode,time
1,14,00:00:01
2,16,00:00:01
3,17,00:00:01
4,20,00:00:01
5,23,00:00:01
6,24,00:00:01
7,25,00:00:01
8,26,00:00:01
9,29,00:00:02
10,32,00:00:02
11,34,00:00:02
12,39,00:00:02
13,42,00:00:02
14,44,00:00:02
15,45,00:00:03
16,46,00:00:03
17,50,00:00:03
18,51,00:00:03
19,52,00:00:03
20,53,00:00:03
21,54,00:00:03
22,57,00:00:03
23,62,00:00:04
24,63,00:00:04
25,65,00:00:04
26,66,00:00:04
27,69,00:00:04
28,73,00:00:04
29,76,00:00:04
30,86,00:00:05
31,92,00:00:05
32,93,00:00:05
33,96,00:00:05
34,97,00:00:05
35,103,00:00:06
36,104,00:00:06
37,105,00:00:06
38,110,00:00:06
39,111,00:00:06
40,133,00:00:10
41,136,00:00:10
42,138,00:00:10
43,160,00:00:11
44,161,00:00:11
45,164,00:00:11
46,171,00:00:12
47,172,00:00:12
48,174,00:00:12
49,175,00:00:12
50,179,00:00:12
51,181,00:00:12
52,183,00:00:12
53,184,00:00:12
54,185,00:00:12
55,188,00:00:12
56,189,00:00:12
57,218,00:00:14
58,219,00:00:14
59,220,00:00:14
60,222,00:00:14
61,226,00:00:14
62,227,00:00:14
63,315,00:00:18
64,426,00:00:25
65,439,00:00:26
66,444,00:00:26
67,448,00:00:26
68,475,00:00:27
69,490,00:00:27
70,653,00:00:34
71,654,00:00:34
72,656,00:00:34
73,715,00:00:39
74,719,00:00:39
75,725,00:00:40
76,727,00:00:40
77,741,00:00:40
78,742,00:00:40
79,744,00:00:40
80,766,00:00:41
81,770,00:00:41
82,772,00:00:41
83,793,00:00:42
84,794,00:00:42
85,848,00:00:43
86,986,00:00:48
87,990,00:00:48
88,998,00:00:48
89,1341,00:01:03
90,1389,00:01:08
91,1402,00:01:08
92,1414,00:01:09
93,1419,00:01:09
94,1420,00:01:09
95,1625,00:01:15
96,1636,00:01:15
97,1948,00:01:28
98,2091,00:01:36
99,2133,00:01:37
100,2845,00:02:06
