highest,episode,time
1,656,00:00:53
2,925,00:01:21
3,927,00:01:22
4,933,00:01:24
5,1003,00:01:30
6,1005,00:01:30
7,1009,00:01:31
8,1011,00:01:31
9,1012,00:01:31
10,1062,00:01:37
11,1069,00:01:38
12,1083,00:01:39
13,1086,00:01:40
14,1099,00:01:41
15,1102,00:01:41
16,1158,00:01:47
17,1215,00:01:54
18,1230,00:01:55
19,1233,00:01:55
20,1246,00:01:56
21,1284,00:02:00
22,1297,00:02:02
23,1300,00:02:02
24,1303,00:02:03
25,1312,00:02:04
26,1314,00:02:04
27,1322,00:02:05
28,1376,00:02:10
29,1382,00:02:10
30,1392,00:02:11
31,1396,00:02:11
32,1399,00:02:12
33,1437,00:02:17
34,1440,00:02:17
35,1442,00:02:17
36,1443,00:02:17
37,1459,00:02:18
38,1472,00:02:19
39,1508,00:02:22
40,1510,00:02:22
41,1516,00:02:23
42,1528,00:02:24
43,1741,00:02:44
44,1743,00:02:44
45,1744,00:02:44
46,1745,00:02:45
47,1747,00:02:45
48,1748,00:02:45
49,1749,00:02:45
50,1752,00:02:45
51,1754,00:02:45
52,1815,00:02:49
53,1817,00:02:50
54,1826,00:02:50
55,1912,00:02:57
56,1913,00:02:57
57,1921,00:02:58
58,1940,00:02:59
59,1962,00:03:00
60,2001,00:03:02
61,2035,00:03:04
62,2070,00:03:06
63,2097,00:03:09
64,2098,00:03:09
65,2142,00:03:11
66,2144,00:03:12
67,2148,00:03:12
68,2308,00:03:23
69,2316,00:03:23
70,2318,00:03:23
71,2339,00:03:25
72,2341,00:03:25
73,2349,00:03:25
74,2356,00:03:26
75,2364,00:03:26
76,2365,00:03:26
77,2377,00:03:27
78,2618,00:03:43
79,2631,00:03:44
80,2632,00:03:44
81,2633,00:03:44
82,2642,00:03:44
83,2677,00:03:46
84,3053,00:04:08
85,3072,00:04:09
86,3075,00:04:09
87,3102,00:04:10
88,3133,00:04:11
89,3134,00:04:11
90,3137,00:04:12
91,3164,00:04:13
92,3167,00:04:13
93,4056,00:05:06
94,4208,00:05:17
95,4231,00:05:18
96,5103,00:06:09
97,5433,00:06:28
98,5490,00:06:31
99,5548,00:06:36
100,6341,00:07:16
